,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H07,H09,H11,H12
16,7,6,22,8,7,7,16,5,7,11,5,6,5,6,41,23,11,6,20,5,7,6,5,5,6,,7,6,25,28,6,12,5,5,12,6,8,12,10,6,7,9,5,24,5,41,17,5,8,6,6,6,7,6,5,32,6,9,8,14,23,5,14,7,6,20,20,6,6,33,25,20,29,5,13,38,12,36,24,20,5,28,6,27,5,5,6,,5,11,5
17,6,6,21,8,7,7,15,5,6,10,5,6,5,6,40,23,11,6,19,5,7,6,5,5,6,,7,6,24,28,6,12,5,4,11,6,8,12,10,6,7,5,5,23,5,41,17,5,8,6,6,6,7,6,5,31,6,9,8,14,23,5,13,7,6,20,20,6,6,32,25,18,28,5,12,38,11,34,24,18,5,28,6,27,5,5,6,,5,11,5
18,6,6,21,8,7,6,15,5,6,10,5,6,5,5,40,22,9,6,19,5,7,6,4,5,6,,7,5,24,27,6,11,5,4,10,6,8,11,10,5,7,5,5,22,5,41,15,5,8,6,5,6,7,6,5,30,6,8,8,14,23,5,13,7,6,19,19,6,6,32,24,18,27,5,12,37,11,33,23,17,5,26,6,26,5,4,6,,5,11,4
19,6,6,19,8,7,6,14,5,6,9,5,6,5,5,39,22,9,6,18,5,6,6,4,5,6,,7,5,23,27,5,11,5,4,10,6,8,11,9,5,7,5,5,22,5,40,15,4,8,6,5,6,7,6,5,30,6,8,8,14,22,5,12,7,6,19,19,6,5,32,23,17,27,4,11,37,10,32,23,14,5,25,6,26,5,4,5,,5,10,4
20,6,6,18,8,7,6,14,5,6,9,4,6,5,5,39,22,8,6,18,5,6,6,4,5,6,,6,5,22,26,5,10,5,4,10,6,8,10,9,5,6,5,5,21,5,40,14,4,7,6,5,6,6,5,5,30,6,8,8,14,22,5,12,6,5,18,19,6,5,31,23,17,26,4,10,36,10,32,21,12,5,25,6,26,5,4,5,,5,9,4
21,6,6,18,8,7,6,14,5,6,8,4,6,5,5,39,22,8,6,18,5,6,6,4,5,6,,6,5,22,25,5,10,5,4,9,6,8,10,9,5,6,5,5,21,5,38,14,4,7,6,5,6,6,5,5,29,6,8,8,14,21,5,11,6,5,18,18,6,5,31,23,16,24,4,10,36,8,30,21,11,5,25,5,26,5,4,5,,5,9,4
22,6,6,18,8,7,6,13,5,6,7,4,6,5,5,38,21,8,6,18,5,6,6,4,5,6,,6,5,21,24,5,10,4,4,8,6,8,10,8,5,6,4,5,20,5,38,13,4,7,6,5,6,6,5,5,28,6,8,8,13,21,5,11,6,5,16,17,5,5,31,23,15,24,4,10,36,8,30,21,9,5,25,5,26,5,4,5,,5,8,4
23,6,6,17,7,6,5,12,5,6,7,4,6,5,5,38,21,7,5,18,5,6,5,4,5,6,,6,5,19,24,5,10,4,4,8,6,7,9,8,5,6,4,5,18,5,37,13,4,7,6,5,6,6,5,5,26,5,8,7,13,20,5,11,6,5,16,17,5,5,30,22,14,22,4,9,36,8,30,20,9,5,24,5,24,5,4,5,,5,8,4
24,6,6,17,7,6,5,12,5,6,7,4,6,5,5,38,21,7,5,18,5,6,5,4,4,6,,6,5,18,24,5,10,4,4,8,6,7,8,8,5,6,4,5,18,5,37,11,4,7,5,5,6,6,5,5,26,5,8,7,12,20,5,11,6,5,16,16,5,5,29,21,14,22,4,9,35,8,30,20,9,4,24,5,23,5,4,5,,5,8,4
25,6,6,17,7,6,5,11,4,6,7,4,6,5,5,38,20,6,5,17,5,6,5,4,4,6,,6,5,18,23,5,10,4,4,7,6,7,8,8,5,6,4,4,17,5,37,11,4,7,5,5,6,6,5,4,25,5,7,7,12,19,5,11,6,5,15,15,5,5,29,21,13,20,4,9,35,8,29,19,9,4,24,5,23,5,4,5,,5,8,4
26,6,6,17,7,6,5,11,4,5,7,4,5,5,5,37,20,6,5,17,5,6,5,4,4,6,,6,5,17,23,5,10,4,4,7,6,7,7,8,5,6,4,4,17,5,36,10,4,7,5,5,6,6,5,4,25,5,7,7,11,18,5,10,6,5,15,14,5,5,29,21,12,20,4,9,35,8,29,19,9,4,23,5,22,5,4,5,,5,8,4
27,5,5,16,7,6,5,11,4,5,6,4,5,5,5,37,20,6,5,16,5,5,5,4,4,6,,6,5,15,23,5,10,4,4,7,6,7,7,8,5,6,4,4,17,5,36,10,4,6,5,5,6,6,5,4,25,5,7,7,11,18,5,10,6,5,15,14,5,5,29,21,12,20,4,9,34,8,29,18,9,4,22,5,22,5,4,5,,5,8,4
28,5,5,16,7,6,5,11,4,5,6,4,5,4,5,36,20,6,5,16,5,5,5,4,4,5,,6,5,15,22,5,10,4,4,6,6,7,7,7,5,6,4,4,17,5,36,10,4,6,5,5,6,6,5,4,25,5,7,7,11,17,5,10,5,5,15,14,5,5,29,21,12,19,4,8,33,8,29,17,8,4,22,5,22,5,4,5,,5,7,4
29,5,5,15,7,6,5,10,4,5,6,4,5,4,5,36,19,6,5,16,5,5,5,4,4,5,,6,5,14,22,5,10,4,4,6,6,7,7,7,5,6,4,4,17,5,35,10,4,6,5,5,5,6,5,4,23,5,7,7,10,16,5,9,5,5,13,14,5,5,29,21,12,19,4,8,33,7,29,17,8,4,21,5,22,5,4,5,,5,7,4
30,5,5,15,7,6,5,10,4,5,6,4,5,4,5,35,19,6,5,16,5,5,5,4,4,5,,5,5,14,22,5,10,4,4,6,6,7,7,7,5,6,3,4,17,5,35,9,4,6,5,5,5,6,5,4,22,5,7,7,10,15,5,9,5,5,13,13,5,5,28,21,12,19,4,8,32,7,29,17,8,4,20,5,21,5,4,5,,5,7,4
31,5,5,14,7,6,5,10,4,5,6,4,5,4,5,34,18,5,5,16,5,5,5,4,4,5,,5,5,14,21,5,9,4,4,6,5,7,7,7,4,6,3,4,16,5,35,9,4,6,5,5,5,5,5,4,22,5,7,7,10,15,4,9,5,5,13,11,5,5,28,20,11,18,4,8,30,7,28,16,7,4,19,5,20,5,4,5,,4,7,4
32,5,5,14,7,6,5,10,4,5,5,4,5,4,5,33,17,5,5,16,5,5,5,4,4,5,,5,5,13,21,5,9,4,4,6,5,6,7,7,4,5,3,4,16,5,35,9,4,6,5,5,5,5,5,4,21,5,7,6,10,14,4,9,5,5,12,11,5,5,26,18,11,17,4,8,30,7,28,16,7,4,19,5,20,4,4,5,,4,6,4
33,5,5,13,6,5,5,9,4,5,5,4,5,4,5,33,17,5,5,15,5,5,5,4,4,5,,5,5,12,21,5,9,4,4,6,5,6,7,7,4,5,2,4,16,4,35,9,4,6,5,4,5,5,5,4,20,5,6,6,10,14,4,9,5,5,12,11,5,5,25,17,11,16,4,8,29,7,28,16,7,4,19,5,19,4,4,5,,4,6,4
