,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H07,H09,H11,H12
72,4,4,6,5,4,3,6,3,4,4,3,3,3,4,24,8,3,4,9,4,4,4,3,3,4,,3,3,5,8,4,5,3,3,3,4,5,5,4,3,4,0,3,8,3,26,5,2,4,4,4,4,4,3,3,8,4,4,4,5,5,3,5,4,4,6,5,4,3,17,8,5,6,3,5,13,4,15,8,4,3,10,3,6,3,3,3,,3,4,3
73,4,4,6,5,4,3,6,3,4,4,3,3,3,4,23,8,3,4,8,4,4,4,3,3,4,,3,3,5,8,4,5,3,3,3,4,5,5,4,3,4,0,3,8,3,26,5,2,4,4,4,4,4,3,3,8,4,4,4,5,5,3,4,4,4,6,5,4,3,17,8,5,6,3,5,12,4,14,8,4,3,10,3,6,3,3,3,,3,4,3
74,4,4,6,5,4,3,6,3,4,4,3,3,3,4,23,8,3,4,8,4,4,4,3,3,4,,3,3,5,8,4,5,3,3,3,4,5,5,4,3,4,0,3,7,3,26,5,2,4,4,4,4,4,3,3,8,4,4,4,5,5,3,4,3,4,6,5,4,3,17,8,5,6,3,5,12,4,13,8,4,3,10,3,6,3,3,3,,3,4,3
75,4,4,6,5,4,3,6,3,4,4,3,3,3,4,23,8,3,4,8,4,4,4,3,3,4,,3,3,5,7,4,5,3,3,3,4,5,4,4,3,4,0,3,7,3,26,5,2,4,4,4,4,4,3,3,8,4,4,4,5,5,3,4,3,4,6,5,4,3,17,8,5,6,3,5,11,4,13,8,4,3,10,3,6,3,3,3,,3,4,3
76,4,4,6,4,4,3,6,3,4,3,3,3,3,4,22,8,3,4,8,3,4,4,3,3,4,,3,3,5,7,4,5,3,3,3,4,5,4,4,3,4,0,3,7,3,26,5,2,4,4,4,4,4,3,3,8,3,4,4,5,5,3,4,3,4,6,5,4,3,17,8,5,6,3,5,11,4,13,8,4,3,9,3,6,3,3,3,,3,4,3
77,4,4,6,4,4,3,6,3,4,3,3,3,3,4,22,8,3,4,8,3,4,4,3,3,4,,3,3,5,7,4,5,3,3,3,4,5,4,4,3,4,0,3,7,3,25,5,2,4,4,4,4,4,3,3,8,3,4,4,5,5,3,4,3,4,6,4,3,3,16,8,5,6,3,5,11,4,12,8,4,3,9,3,6,3,3,3,,3,4,2
78,4,4,6,4,4,3,5,3,4,3,3,3,3,4,22,8,3,4,8,3,4,4,3,3,4,,3,3,4,7,4,5,3,3,3,4,5,4,4,3,4,0,3,7,3,25,5,2,4,4,4,4,4,3,3,8,3,4,4,5,5,3,4,3,4,6,4,3,3,16,8,5,6,3,5,11,4,12,8,4,3,9,3,6,3,3,3,,3,3,2
79,4,4,5,4,4,3,5,3,4,3,3,3,3,4,22,8,3,4,8,3,4,4,3,3,4,,3,3,4,7,4,5,3,3,3,4,5,4,4,3,4,0,3,7,3,25,4,2,4,4,3,4,4,3,3,8,3,4,4,5,5,3,4,3,4,5,4,3,3,16,7,5,5,3,5,10,4,12,8,4,3,8,3,6,3,3,3,,3,3,2
80,3,4,5,4,4,3,5,3,4,3,3,3,3,4,22,8,3,4,8,3,4,4,3,3,4,,3,3,4,7,3,5,3,3,3,4,5,4,4,3,4,0,3,7,3,25,4,2,4,4,3,4,4,3,3,8,3,4,4,5,5,3,4,3,3,5,4,3,3,16,7,5,5,3,5,10,4,12,8,4,3,8,3,6,3,3,3,,3,3,2
81,3,4,5,4,4,3,5,3,4,3,3,3,3,4,22,7,3,4,8,3,4,4,3,3,4,,3,3,4,7,3,5,3,3,3,4,5,4,4,3,4,0,3,7,3,24,4,2,4,4,3,4,3,3,3,7,3,4,4,5,5,3,4,3,3,5,4,3,3,16,7,5,5,3,5,9,4,12,8,4,3,8,3,6,3,3,3,,3,3,2
82,3,4,5,4,4,3,5,3,4,3,3,3,3,4,22,7,3,4,8,3,3,4,3,3,4,,3,3,4,6,3,5,3,3,3,4,5,4,4,3,4,0,3,7,3,24,4,2,4,4,3,4,3,3,3,7,3,4,4,5,5,3,4,3,3,5,4,3,3,15,7,5,5,3,5,9,4,11,8,4,3,8,3,6,3,3,3,,3,3,2
83,3,4,5,4,4,3,5,3,3,3,3,3,3,4,22,7,3,4,8,3,3,4,3,3,4,,3,3,4,6,3,5,3,3,3,4,5,4,4,3,4,0,3,7,3,24,4,2,4,4,3,4,3,3,3,7,3,4,4,5,5,3,4,3,3,5,4,3,3,15,7,4,5,3,5,9,4,11,8,4,3,8,3,6,3,3,3,,3,3,2
84,3,4,5,4,4,3,5,3,3,3,3,3,3,4,22,7,3,4,8,3,3,4,3,3,4,,3,3,4,6,3,5,3,3,3,4,4,4,4,3,3,0,3,7,3,24,4,2,4,4,3,4,3,3,3,7,3,4,4,5,5,3,4,3,3,5,4,3,3,15,7,4,5,3,5,9,4,11,7,4,3,8,3,6,3,3,3,,3,3,2
85,3,4,5,4,4,3,5,3,3,3,3,3,3,4,22,7,3,4,7,3,3,4,3,3,4,,3,3,4,6,3,5,3,3,3,4,4,4,4,3,3,0,3,7,3,24,4,2,4,4,3,4,3,3,3,7,3,4,4,4,5,3,4,3,3,5,4,3,3,15,7,4,5,3,5,9,4,11,7,4,3,8,3,5,3,3,3,,3,3,2
86,3,3,5,4,4,3,5,3,3,3,3,3,3,3,21,7,3,4,7,3,3,4,3,3,4,,3,3,4,6,3,5,3,3,3,4,4,4,4,3,3,0,3,7,3,24,4,2,4,4,3,4,3,3,3,7,3,4,4,4,5,3,4,3,3,5,4,3,3,14,7,4,5,3,5,8,4,11,7,4,3,7,3,5,3,3,3,,3,3,2
87,3,3,5,4,4,3,5,3,3,3,3,3,3,3,21,7,3,4,7,3,3,4,3,3,4,,3,3,4,6,3,4,3,3,3,4,4,4,4,3,3,0,3,7,3,24,4,2,4,4,3,4,3,3,3,7,3,4,4,4,5,3,4,3,3,5,4,3,3,14,7,4,5,3,5,8,4,11,7,4,3,7,3,5,3,3,3,,3,3,2
88,3,3,5,4,4,3,5,3,3,3,3,3,3,3,21,7,3,4,7,3,3,3,3,3,4,,3,3,4,6,3,4,3,3,3,4,4,4,4,3,3,0,3,7,3,23,4,2,4,4,3,4,3,3,3,7,3,4,4,4,5,3,4,3,3,5,4,3,3,14,6,4,5,3,5,8,4,10,7,4,3,7,3,5,3,3,3,,3,3,2
89,3,3,5,4,4,3,5,3,3,3,3,3,3,3,20,7,3,3,7,3,3,3,3,3,4,,3,3,4,6,3,4,3,3,3,4,4,4,4,3,3,,3,7,3,23,4,2,4,4,3,4,3,3,3,7,3,4,4,4,5,3,4,3,3,5,4,3,3,13,6,4,5,3,5,8,4,10,7,4,3,7,3,5,3,3,3,,3,3,2
90,3,3,5,4,3,3,5,3,3,3,3,3,3,3,20,7,3,3,7,3,3,3,3,3,4,,3,3,4,6,3,4,3,3,3,4,4,4,4,3,3,,3,7,3,22,4,2,4,4,3,4,3,3,3,6,3,4,4,4,5,2,4,3,3,5,4,3,3,13,6,4,5,3,5,8,4,10,7,3,3,7,3,5,3,3,3,,3,3,2
91,3,3,5,4,3,3,5,3,3,3,3,3,3,3,20,6,3,3,7,3,3,3,3,3,4,,3,3,4,6,3,4,3,2,3,4,4,4,4,3,3,,3,7,3,22,4,2,4,4,3,4,3,3,3,6,3,4,4,4,5,2,4,3,3,5,4,3,3,13,6,4,5,3,5,8,4,10,7,3,3,7,3,5,3,3,3,,3,3,2
92,3,3,5,4,3,3,5,3,3,3,3,3,3,3,20,6,3,3,7,3,3,3,3,3,4,,3,3,4,6,3,4,3,2,3,4,4,4,4,3,3,,3,7,3,22,4,2,4,4,3,4,3,3,3,6,3,4,4,4,5,2,4,3,3,5,4,3,3,13,6,4,5,3,5,7,4,10,7,3,3,7,3,5,3,3,3,,3,3,2
93,3,3,5,4,3,3,5,3,3,3,3,3,3,3,20,6,3,3,7,3,3,3,3,3,4,,3,3,4,6,3,4,3,2,3,4,4,4,4,3,3,,3,7,3,22,4,2,4,4,3,4,3,3,3,6,3,4,4,4,5,2,4,3,3,5,4,3,3,13,6,4,4,3,5,7,4,9,6,3,3,6,3,5,3,3,3,,3,3,2
94,3,3,5,4,3,3,5,3,3,3,3,3,3,3,20,6,3,3,6,3,3,3,3,3,4,,3,3,4,6,3,4,3,2,3,3,4,4,4,3,3,,3,7,3,21,4,2,4,4,3,4,3,3,3,6,3,3,3,4,4,2,4,3,3,5,4,3,3,13,5,4,4,3,5,7,4,9,6,3,3,6,3,5,3,3,3,,3,3,2
95,3,3,5,4,3,3,5,3,3,3,3,3,3,3,20,6,3,3,6,3,3,3,3,3,4,,3,3,4,6,3,4,3,2,3,3,4,4,4,3,3,,3,7,3,21,4,2,4,4,3,4,3,3,3,6,3,3,3,4,4,2,4,3,3,5,4,3,3,12,5,4,4,3,5,7,4,9,6,3,3,6,3,5,2,3,3,,3,3,2
96,3,3,5,4,3,3,5,3,3,3,3,3,3,3,20,6,3,3,6,3,3,3,3,3,3,,3,3,4,6,3,4,3,2,3,3,4,4,4,3,3,,3,7,3,21,4,2,4,4,3,4,3,3,3,6,3,3,3,4,4,2,4,3,3,5,4,3,3,12,5,4,4,3,5,7,4,9,6,3,3,6,3,5,2,3,3,,3,3,2
97,3,3,5,4,3,3,4,3,3,3,3,3,3,3,20,6,3,3,6,3,3,3,3,2,3,,3,3,4,6,3,4,3,2,3,3,4,4,4,3,3,,3,6,3,21,4,2,4,4,3,4,3,3,3,6,3,3,3,4,4,2,4,3,3,5,4,3,3,12,5,4,4,3,5,7,4,9,6,3,3,6,3,5,2,3,3,,3,3,2
98,3,3,5,4,3,3,4,3,3,3,3,3,3,3,20,6,3,3,6,3,3,3,3,2,3,,3,3,4,5,3,4,3,2,3,3,4,4,4,3,3,,3,6,3,21,4,2,4,4,3,4,3,3,3,6,3,3,3,4,4,2,4,3,3,5,4,3,3,12,5,4,4,3,5,7,4,9,6,3,3,6,3,5,2,3,3,,3,3,2
99,3,3,5,4,3,3,4,3,3,3,3,3,3,3,20,6,3,3,6,3,3,3,3,2,3,,3,3,4,5,3,4,3,2,3,3,4,4,4,3,3,,3,6,3,21,4,2,4,4,3,4,3,3,3,6,3,3,3,4,4,2,4,3,3,5,4,3,3,12,5,4,4,3,5,7,4,9,6,3,3,6,3,5,2,3,3,,3,3,2
100,3,3,5,4,3,3,4,3,3,3,3,3,3,3,20,6,3,3,6,3,3,3,3,2,3,,3,3,4,5,3,4,3,2,3,3,4,4,4,3,3,,3,6,3,20,4,2,4,3,3,4,3,3,3,6,3,3,3,4,4,2,4,3,3,5,4,3,3,12,5,4,4,3,5,7,4,8,6,3,3,6,3,5,2,3,3,,3,3,2
101,3,3,5,4,3,3,4,3,3,3,3,3,3,3,19,6,3,3,6,3,3,3,3,2,3,,3,3,4,5,3,4,3,2,3,3,4,4,4,3,3,,3,6,3,20,4,2,4,3,3,4,3,3,3,6,3,3,3,4,4,2,4,3,3,5,4,3,3,11,5,4,4,3,5,6,4,8,6,3,3,6,3,5,2,3,3,,3,3,2
102,3,3,5,4,3,3,4,3,3,3,3,3,3,3,19,6,3,3,6,3,3,3,3,2,3,,3,3,4,5,3,4,2,2,3,3,4,4,4,3,3,,3,6,3,20,4,2,4,3,3,4,3,3,3,6,3,3,3,4,4,2,4,3,3,5,4,3,3,11,5,4,4,2,5,6,4,8,6,3,3,6,3,5,2,3,3,,3,3,2
103,3,3,4,4,3,3,4,3,3,3,3,3,3,3,19,6,3,3,6,3,3,3,3,2,3,,3,3,4,5,3,4,2,2,3,3,4,4,4,3,3,,3,6,3,20,4,2,4,3,3,4,3,3,3,6,3,3,3,4,4,2,4,3,3,4,4,3,3,11,5,3,4,2,5,6,4,7,6,3,3,6,3,5,2,2,3,,3,3,2
104,3,3,4,4,3,3,4,3,3,3,3,3,3,3,19,6,3,3,6,3,3,3,3,2,3,,3,3,4,5,3,4,2,2,3,3,4,4,3,3,3,,3,6,3,19,4,2,4,3,3,4,3,3,3,6,3,3,3,4,4,2,4,3,3,4,4,3,3,11,5,3,4,2,5,5,4,7,6,3,3,6,3,5,2,2,3,,3,3,2
105,3,3,4,4,3,3,4,3,3,3,2,3,3,3,19,6,3,3,6,3,3,3,3,2,3,,3,3,4,5,3,4,2,2,3,3,4,4,3,3,3,,3,6,3,19,4,2,4,3,3,4,3,3,3,6,3,3,3,4,4,2,4,3,3,4,4,3,3,10,5,3,4,2,5,5,4,7,6,3,3,6,3,5,2,2,3,,2,3,2
106,3,3,4,4,3,3,4,3,3,3,2,3,3,3,18,6,3,3,6,3,3,3,3,2,3,,3,3,3,5,3,4,2,2,3,3,4,4,3,3,3,,3,6,3,19,4,2,4,3,3,4,3,3,3,6,3,3,3,4,4,2,4,3,3,4,4,3,3,10,5,3,4,2,4,5,4,7,6,3,3,6,3,5,2,2,3,,2,3,2
107,3,3,4,4,3,3,4,3,3,3,2,3,3,3,18,6,3,3,6,3,3,3,3,2,3,,3,3,3,5,3,4,2,2,3,3,4,4,3,3,3,,3,6,3,19,4,2,4,3,3,4,3,3,3,6,3,3,3,4,4,2,4,3,3,4,3,3,3,10,5,3,4,2,4,5,4,7,5,3,3,6,3,4,2,2,3,,2,3,2
108,3,3,4,4,3,3,4,3,3,3,2,3,3,3,18,6,3,3,6,3,3,3,3,2,3,,3,3,3,5,3,4,2,2,3,3,4,3,3,3,3,,3,6,3,19,4,2,4,3,3,3,3,3,3,5,3,3,3,4,4,2,4,3,3,4,3,3,3,10,5,3,4,2,4,5,4,7,5,3,3,6,3,4,2,2,2,,2,3,2
109,3,3,4,4,3,3,4,2,3,3,2,3,3,3,18,6,3,3,6,3,3,3,3,2,3,,3,3,3,5,3,4,2,2,2,3,4,3,3,3,3,,3,6,3,18,4,2,4,3,3,3,3,3,3,5,3,3,3,4,4,2,4,3,3,4,3,3,3,10,5,3,4,2,4,5,4,7,5,3,3,5,3,4,2,2,2,,2,3,2
110,3,3,4,4,3,3,4,2,3,3,2,3,3,3,18,6,3,3,6,3,3,3,3,2,3,,3,3,3,5,3,4,2,2,2,3,4,3,3,3,3,,3,6,3,18,4,2,4,3,3,3,3,3,3,5,3,3,3,4,4,2,4,3,3,4,3,3,3,10,5,3,4,2,4,5,4,6,5,3,3,5,3,4,2,2,2,,2,3,2
111,3,3,4,4,3,3,4,2,3,3,2,3,3,3,18,6,3,3,6,3,3,3,3,2,3,,3,3,3,5,3,4,2,2,2,3,4,3,3,3,3,,3,6,3,18,4,2,4,3,3,3,3,3,3,5,3,3,3,4,4,2,4,3,3,4,3,3,3,9,5,3,4,2,4,5,3,6,5,3,3,5,3,4,2,2,2,,2,3,2
112,3,3,4,4,3,3,4,2,3,3,2,3,3,3,17,6,3,3,5,3,3,3,3,2,3,,3,3,3,5,3,4,2,2,2,3,4,3,3,3,3,,3,6,3,18,4,2,4,3,3,3,3,3,3,5,3,3,3,4,4,2,4,3,3,4,3,3,3,9,5,3,4,2,4,5,3,6,5,3,3,5,3,4,2,2,2,,2,3,2
113,3,3,4,4,3,3,4,2,3,3,2,3,3,3,17,5,3,3,5,3,3,3,3,2,3,,3,3,3,5,3,4,2,2,2,3,4,3,3,3,3,,3,6,3,17,4,2,3,3,3,3,3,3,3,5,3,3,3,4,4,2,4,3,3,4,3,3,3,9,5,3,4,2,4,5,3,6,5,3,3,5,3,4,2,2,2,,2,3,2
114,3,3,4,4,3,3,4,2,3,3,2,3,3,3,17,5,2,3,5,3,3,3,2,2,3,,3,3,3,5,3,4,2,2,2,3,4,3,3,3,3,,3,6,3,17,3,2,3,3,3,3,3,3,3,5,3,3,3,4,4,2,4,3,3,4,3,3,3,9,5,3,4,2,4,5,3,6,5,3,3,5,3,4,2,2,2,,2,3,2
115,3,3,4,4,3,3,4,2,3,3,2,3,3,3,17,5,2,3,5,3,3,3,2,2,3,,3,3,3,5,3,4,2,2,2,3,4,3,3,3,3,,3,6,3,17,3,2,3,3,3,3,3,3,2,5,3,3,3,4,4,2,3,3,3,4,3,3,3,9,4,3,4,2,4,5,3,6,5,3,3,5,3,4,2,2,2,,2,3,2
116,3,3,4,4,3,3,4,2,3,3,2,3,3,3,17,5,2,3,5,3,3,3,2,2,3,,3,3,3,5,3,3,2,2,2,3,4,3,3,3,3,,3,6,3,17,3,2,3,3,3,3,3,3,2,5,3,3,3,4,4,2,3,3,3,4,3,3,3,9,4,3,4,2,4,5,3,6,5,3,3,5,3,4,2,2,2,,2,3,2
117,3,3,4,4,3,3,4,2,3,3,2,3,3,3,17,5,2,3,5,3,3,3,2,2,3,,3,3,3,5,3,3,2,2,2,3,4,3,3,3,3,,3,6,3,17,3,2,3,3,3,3,3,3,2,5,3,3,3,4,3,2,3,3,3,4,3,3,3,9,4,3,4,2,4,5,3,6,5,3,3,5,3,4,2,2,2,,2,2,2
118,3,3,4,4,3,3,4,2,3,3,2,3,3,3,17,5,2,3,5,3,3,3,2,2,3,,3,3,3,4,3,3,2,2,2,3,4,3,3,3,3,,3,6,3,17,3,2,3,3,3,3,3,3,2,5,3,3,3,4,3,2,3,3,3,4,3,3,3,8,4,3,4,2,4,5,3,6,5,3,3,5,3,4,2,2,2,,2,2,2
119,3,3,4,4,3,3,4,2,3,3,2,3,3,3,16,5,2,3,5,3,3,3,2,2,3,,3,3,3,4,3,3,2,2,2,3,4,3,3,3,3,,3,5,3,17,3,2,3,3,3,3,3,3,2,5,3,3,3,4,3,2,3,3,3,4,3,3,3,8,4,3,4,2,4,5,3,6,5,3,3,5,3,4,2,2,2,,2,2,2
120,3,3,4,4,3,3,4,2,3,3,2,2,3,3,16,5,2,3,5,3,3,3,2,2,3,,3,3,3,4,3,3,2,2,2,3,4,3,3,3,3,,3,5,3,16,3,2,3,3,3,3,3,3,2,5,3,3,3,4,3,2,3,3,3,4,3,3,3,8,4,3,4,2,4,5,3,6,5,3,3,5,3,4,2,2,2,,2,2,2
121,3,3,4,3,3,3,4,2,3,3,2,2,3,3,16,5,2,3,5,3,3,3,2,2,3,,3,3,3,4,3,3,2,2,2,3,4,3,3,3,3,,3,5,3,16,3,2,3,3,3,3,3,3,2,5,3,3,3,3,3,2,3,3,3,4,3,3,3,8,4,3,4,2,4,4,3,6,5,3,3,5,3,4,2,2,2,,2,2,2
122,3,3,4,3,3,3,4,2,3,3,2,2,3,3,16,5,2,3,5,3,3,3,2,2,3,,3,3,3,4,3,3,2,2,2,3,4,3,3,3,3,,3,5,3,16,3,2,3,3,3,3,3,3,2,5,3,3,3,3,3,2,3,3,3,4,3,3,3,8,4,3,4,2,4,4,3,6,5,3,3,5,3,4,2,2,2,,2,2,2
123,3,3,4,3,3,3,4,2,3,3,2,2,3,3,16,5,2,3,5,3,3,3,2,2,3,,3,3,3,4,3,3,2,2,2,3,4,3,3,3,3,,3,5,3,16,3,2,3,3,3,3,3,3,2,5,3,3,3,3,3,2,3,3,3,4,3,3,3,8,4,3,3,2,4,4,3,6,5,3,3,5,3,4,2,2,2,,2,2,2
124,3,3,4,3,3,3,4,2,3,3,2,2,3,3,16,5,2,3,5,3,3,3,2,2,3,,3,3,3,4,3,3,2,2,2,3,4,3,3,3,3,,3,5,3,16,3,1,3,3,3,3,3,3,2,4,3,3,3,3,3,2,3,3,3,4,3,3,3,8,4,3,3,2,4,4,3,6,5,3,3,5,3,4,2,2,2,,2,2,2
125,3,3,4,3,3,3,4,2,3,3,2,2,3,3,16,5,2,3,5,3,3,3,2,2,3,,3,3,3,4,3,3,2,2,2,3,4,3,3,3,3,,3,5,3,15,3,1,3,3,3,3,3,3,2,4,3,3,3,3,3,2,3,3,3,4,3,3,2,8,4,3,3,2,4,4,3,6,5,3,2,5,3,4,2,2,2,,2,2,2
126,3,3,4,3,3,3,4,2,3,3,2,2,3,3,15,5,2,3,5,3,3,3,2,2,3,,3,3,3,4,3,3,2,2,2,3,3,3,3,3,3,,3,5,3,15,3,1,3,3,3,3,3,3,2,4,3,3,3,3,3,2,3,3,3,4,3,3,2,8,4,3,3,2,4,4,3,6,5,3,2,5,3,4,2,2,2,,2,2,2
127,3,3,4,3,3,3,4,2,3,3,2,2,3,3,15,5,2,3,5,3,3,3,2,2,3,,3,3,3,4,3,3,2,2,2,3,3,3,3,3,3,,3,5,3,15,3,1,3,3,3,3,3,3,2,4,3,3,3,3,3,2,3,3,3,4,3,3,2,8,4,3,3,2,4,4,3,6,5,3,2,5,3,4,2,2,2,,2,2,2
128,3,3,4,3,3,3,4,2,3,3,2,2,3,3,15,5,2,3,5,3,3,3,2,2,3,,2,3,3,4,3,3,2,2,2,3,3,3,3,3,3,,2,5,3,15,3,1,3,3,3,3,3,3,2,4,3,3,3,3,3,2,3,2,3,4,3,3,2,8,4,3,3,2,4,4,3,6,5,3,2,5,3,4,2,2,2,,2,2,2
129,3,3,4,3,3,2,4,2,3,3,2,2,3,3,14,5,2,3,5,3,3,3,2,2,3,,2,3,3,4,3,3,2,2,2,3,3,3,3,3,3,,2,5,3,14,3,1,3,3,3,3,3,3,2,4,3,3,3,3,3,2,3,2,3,4,3,3,2,8,4,3,3,2,4,4,3,6,5,3,2,4,3,4,2,2,2,,2,2,2
130,3,3,4,3,3,2,4,2,2,3,2,2,3,3,14,5,2,3,5,3,3,3,2,2,3,,2,3,3,4,3,3,2,2,2,3,3,3,3,3,3,,2,5,2,14,3,1,3,3,3,3,3,3,2,4,3,3,3,3,3,2,3,2,3,4,3,3,2,8,4,3,3,2,4,4,3,5,5,3,2,4,3,4,2,2,2,,2,2,2
131,3,3,4,3,3,2,4,2,2,3,2,2,2,3,14,5,2,3,5,3,3,3,2,2,3,,2,3,3,4,3,3,2,2,2,3,3,3,3,3,3,,2,5,2,14,3,1,3,3,2,3,3,3,2,4,3,3,3,3,3,2,3,2,3,4,3,3,2,8,4,2,3,2,4,4,3,5,5,3,2,4,3,4,2,2,2,,2,2,2
132,3,3,4,3,3,2,4,2,2,3,2,2,2,3,14,5,2,3,5,3,3,3,2,2,3,,2,3,3,4,3,3,2,2,2,3,3,3,3,3,3,,2,5,2,14,3,1,3,3,2,3,3,3,2,4,3,3,3,3,3,2,3,2,3,4,3,3,2,7,4,2,3,2,4,4,3,5,5,3,2,4,3,4,2,2,2,,2,2,2
133,3,3,4,3,3,2,4,2,2,3,2,2,2,3,14,5,2,3,5,3,3,3,2,2,3,,2,3,3,4,2,3,2,2,2,3,3,3,3,3,3,,2,5,2,14,3,1,3,3,2,3,3,3,2,4,3,3,3,3,3,2,3,2,3,4,3,3,2,7,4,2,3,2,4,4,3,5,5,3,2,4,3,4,2,2,2,,2,2,2
134,3,3,4,3,3,2,4,2,2,3,2,2,2,3,13,5,2,3,5,3,3,3,2,2,3,,2,3,3,4,2,3,2,2,2,3,3,3,3,3,3,,2,5,2,13,3,1,3,3,2,3,3,3,2,4,3,3,3,3,3,2,3,2,3,4,3,3,2,7,4,2,3,2,4,4,3,5,5,3,2,4,2,4,2,2,2,,2,2,2
135,3,3,4,3,3,2,4,2,2,3,2,2,2,3,13,5,2,3,5,3,3,3,2,2,3,,2,3,3,4,2,3,2,2,2,3,3,3,3,3,3,,2,5,2,13,3,1,3,3,2,3,3,3,2,4,3,3,2,3,3,2,3,2,3,4,3,3,2,7,4,2,3,2,4,4,3,5,5,3,2,4,2,4,2,2,2,,2,2,2
136,3,3,4,3,3,2,4,2,2,3,2,2,2,3,13,5,2,3,5,3,3,3,2,2,3,,2,3,3,4,2,3,2,2,2,3,3,3,3,2,3,,2,5,2,13,3,1,3,3,2,3,3,3,2,4,3,3,2,3,3,2,3,2,3,4,3,3,2,7,4,2,3,2,4,4,3,5,5,3,2,4,2,4,2,2,2,,2,2,2
137,3,3,4,3,3,2,4,2,2,2,2,2,2,3,13,5,2,3,5,3,3,3,2,2,3,,2,3,3,4,2,3,2,2,2,3,3,3,3,2,3,,2,4,2,13,3,1,3,3,2,3,3,3,2,4,3,3,2,3,3,2,3,2,3,4,3,3,2,7,4,2,3,2,4,4,3,5,5,3,2,4,2,4,2,2,2,,2,2,2
138,3,3,4,3,3,2,4,2,2,2,2,2,2,3,13,5,2,3,5,3,3,3,2,2,3,,2,3,3,4,2,3,2,2,2,3,3,3,3,2,3,,2,4,2,13,3,1,3,3,2,3,3,3,2,4,3,3,2,3,3,2,3,2,3,3,3,3,2,7,4,2,3,2,4,4,3,5,5,3,2,4,2,3,2,2,2,,2,2,2
139,3,3,4,3,3,2,4,2,2,2,2,2,2,3,13,5,2,2,5,3,3,3,2,2,3,,2,2,3,4,2,3,2,2,2,3,3,3,3,2,3,,2,4,2,13,3,1,3,3,2,3,3,3,2,4,3,3,2,3,3,2,3,2,3,3,3,3,2,7,4,2,3,2,4,4,3,5,5,3,2,4,2,3,2,2,2,,2,2,2
140,3,3,4,3,3,2,4,2,2,2,2,2,2,3,13,4,2,2,5,3,3,3,2,2,3,,2,2,3,4,2,3,2,2,2,3,3,3,3,2,3,,2,4,2,12,3,1,3,3,2,3,3,2,2,4,3,3,2,3,3,2,3,2,3,3,3,3,2,7,4,2,3,2,4,4,3,5,4,3,2,4,2,3,2,2,2,,2,2,2
141,3,3,4,3,3,2,4,2,2,2,2,2,2,3,13,4,2,2,5,3,3,3,2,2,3,,2,2,3,4,2,3,2,2,2,3,3,3,3,2,3,,2,4,2,12,3,1,3,3,2,3,3,2,2,4,3,3,2,3,3,2,3,2,3,3,3,3,2,7,4,2,3,2,4,4,3,5,4,3,2,4,2,3,2,2,2,,2,2,2
142,3,3,4,3,3,2,4,2,2,2,2,2,2,3,12,4,2,2,5,2,3,3,2,2,3,,2,2,3,4,2,3,2,2,2,3,3,3,2,2,3,,2,4,2,12,3,1,3,3,2,3,3,2,2,4,2,3,2,3,3,2,3,2,3,3,3,3,2,7,4,2,3,2,4,4,3,5,4,3,2,4,2,3,2,2,2,,2,2,2
143,3,3,4,3,3,2,3,2,2,2,2,2,2,2,12,4,2,2,4,2,3,3,2,2,3,,2,2,3,4,2,3,2,2,2,3,3,3,2,2,3,,2,4,2,12,3,1,3,3,2,3,3,2,2,4,2,3,2,3,3,2,3,2,3,3,3,3,2,7,4,2,3,2,3,4,3,5,4,3,2,4,2,3,2,2,2,,2,2,2
144,3,3,4,3,3,2,3,2,2,2,2,2,2,2,12,4,2,2,4,2,3,3,2,2,3,,2,2,3,4,2,3,2,2,2,3,3,3,2,2,3,,2,4,2,12,3,1,3,3,2,3,3,2,2,4,2,3,2,3,3,2,3,2,3,3,3,3,2,7,4,2,3,2,3,4,3,5,4,2,2,4,2,3,2,2,2,,2,2,2
145,3,3,4,3,3,2,3,2,2,2,2,2,2,2,12,4,2,2,4,2,3,3,2,2,3,,2,2,3,4,2,3,2,2,2,3,3,3,2,2,3,,2,4,2,12,3,1,3,3,2,3,3,2,2,4,2,3,2,3,3,2,3,2,3,3,3,3,2,7,4,2,3,2,3,4,3,5,4,2,2,4,2,3,2,2,2,,2,2,2
146,3,3,4,3,3,2,3,2,2,2,2,2,2,2,12,4,2,2,4,2,3,3,2,2,3,,2,2,3,4,2,3,2,2,2,3,3,3,2,2,2,,2,4,2,12,3,1,3,3,2,3,2,2,2,4,2,3,2,3,3,2,3,2,3,3,3,3,2,6,4,2,3,2,3,4,3,5,4,2,2,4,2,3,2,2,2,,2,2,2
