,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
10,4,8,24,6,7,4,13,4,4,4,4,5,2,4,28,15,21,32,12,4,4,5,4,3,5,4,22,5,5,37,27,4,7,4,4,5,5,8,7,7,4,7,9,4,13,4,30,6,3,8,4,6,4,4,3,3,10,,4,6,6,6,10,4,12,6,4,8,16,5,4,29,18,36,8,3,10,4,16,31,26,7,4,13,4,4,5,4,4,,,,3,,6,4
11,4,8,24,6,7,4,13,4,4,3,3,5,1,4,27,15,20,32,11,4,4,5,4,3,5,4,22,5,4,37,26,4,7,4,4,5,4,8,7,7,4,6,9,4,12,4,28,6,3,7,4,5,4,3,3,3,9,,4,6,5,6,9,4,11,6,4,7,16,5,4,27,14,34,7,3,8,4,10,29,24,7,3,13,4,4,4,4,4,,,,3,,6,3
12,4,7,22,6,6,4,11,4,4,3,3,4,1,4,26,14,19,31,11,4,4,4,4,3,4,4,21,5,4,36,25,4,7,4,4,5,4,8,6,7,4,6,7,4,12,4,28,5,3,5,4,5,3,3,3,3,9,,4,6,5,6,9,4,11,6,4,6,15,5,4,26,14,34,7,3,8,4,7,29,23,7,3,12,4,4,4,4,4,,,,3,,6,3
13,4,7,21,6,6,4,10,4,3,3,3,4,1,4,25,14,19,27,11,4,4,4,4,3,4,4,20,5,4,36,24,4,7,4,3,5,4,8,6,7,4,5,7,4,12,4,27,5,3,5,4,5,3,3,3,3,8,,4,6,5,6,8,4,10,5,4,6,14,5,4,26,14,32,6,3,8,4,6,27,22,6,3,12,4,4,4,4,4,,,,3,,5,3
14,4,7,21,5,6,4,9,4,3,3,3,4,1,4,25,13,19,27,10,4,4,4,3,3,4,4,19,5,4,36,24,3,6,3,3,4,4,7,6,7,4,5,7,3,11,4,27,5,3,5,4,5,3,3,3,3,8,,4,6,5,6,6,4,10,5,4,6,13,5,4,25,12,32,6,3,7,4,6,27,22,6,3,11,4,4,4,3,4,,,,3,,4,3
15,4,6,21,5,6,4,9,4,3,3,3,4,1,4,25,13,18,27,10,4,4,4,3,3,4,4,18,5,4,35,23,3,6,3,3,4,4,7,5,7,3,5,7,3,10,3,26,5,3,5,4,5,3,3,2,3,7,,4,6,5,6,6,4,10,5,4,5,12,5,4,24,12,30,6,3,7,4,5,27,20,6,3,11,3,3,4,3,4,,,,3,,4,3
16,4,6,20,5,5,4,8,4,3,3,3,4,1,3,25,12,18,27,10,4,4,3,3,3,4,4,18,5,4,34,23,3,5,3,3,4,4,7,5,6,3,5,7,3,10,3,23,5,3,5,3,5,3,3,2,3,7,,4,5,5,6,6,4,10,4,4,4,11,5,4,22,12,28,6,3,6,4,5,23,20,6,3,11,3,3,4,3,4,,,,3,,4,3
17,4,6,18,5,5,4,8,3,3,3,3,4,0,3,24,11,17,26,9,4,4,3,3,3,4,4,16,5,4,34,23,3,5,3,3,4,4,7,5,6,3,5,6,3,10,3,23,5,3,5,3,5,3,3,2,3,6,,4,5,4,6,6,4,9,4,4,4,11,4,4,20,11,28,5,3,6,4,5,22,20,6,3,11,3,3,4,3,4,,,,3,,4,3
18,4,5,17,4,5,4,7,3,3,3,3,4,0,3,24,10,16,25,8,3,3,3,3,3,4,4,15,5,4,33,21,3,5,3,3,4,4,7,5,6,3,5,6,3,9,3,23,5,3,5,3,5,3,3,2,3,6,,4,5,4,6,6,4,9,4,4,4,11,4,4,19,11,28,5,3,6,4,5,22,16,5,3,10,3,3,4,3,4,,,,3,,4,3
19,4,5,17,4,5,4,7,3,3,3,3,4,0,3,23,10,15,25,8,3,3,3,3,3,4,4,15,5,4,33,20,3,5,3,3,4,4,7,4,6,3,5,6,3,9,3,23,5,3,4,3,5,3,3,2,3,6,,4,5,4,5,6,4,9,3,3,4,11,4,4,19,11,28,5,3,6,4,5,21,16,5,3,9,3,3,4,3,4,,,,3,,4,3
20,4,5,16,4,5,3,7,3,3,3,3,3,0,3,23,9,15,24,7,3,3,3,3,3,4,4,15,4,4,31,19,3,5,3,3,4,4,6,4,6,3,4,6,3,8,3,22,4,3,4,3,5,3,3,2,3,6,,3,5,4,5,6,3,9,3,3,4,11,4,3,19,11,26,5,3,6,4,4,20,15,5,3,9,3,3,4,3,4,,,,3,,4,3
21,4,5,16,4,5,3,6,3,3,3,3,3,0,3,23,9,15,24,6,3,3,3,3,3,4,4,15,4,3,31,17,3,5,3,3,4,4,6,4,6,3,4,6,3,8,3,22,4,3,4,3,5,3,3,2,3,6,,3,5,4,5,5,3,8,3,3,4,10,4,3,18,10,25,4,2,6,3,4,20,15,5,2,9,3,3,4,3,3,,,,3,,4,3
22,3,4,15,4,5,3,6,3,3,3,3,3,0,3,23,8,15,22,5,3,3,3,3,3,4,4,15,4,3,31,16,3,5,3,2,4,4,6,4,6,3,4,6,3,8,3,22,4,3,4,3,5,2,3,2,3,5,,3,5,4,5,5,3,8,3,3,4,10,4,3,17,9,24,4,2,5,3,4,18,15,5,2,8,3,3,4,3,3,,,,3,,4,3
23,3,4,14,4,4,3,6,3,3,3,3,3,0,3,22,8,14,20,4,3,3,3,3,3,3,4,14,4,3,29,16,3,5,3,2,4,4,5,4,6,3,4,6,3,8,3,21,4,3,4,3,4,2,2,2,2,5,,3,5,4,4,5,3,8,3,3,4,10,4,3,16,8,22,4,2,5,3,4,18,14,5,2,8,3,3,4,3,3,,,,3,,4,3
24,3,4,14,3,4,3,5,3,3,3,3,3,0,3,22,7,13,20,4,3,3,3,3,3,3,4,14,4,3,29,15,3,5,3,2,4,4,5,4,6,3,4,6,2,7,3,21,4,3,4,3,4,2,2,2,2,5,,3,5,4,4,5,3,8,3,3,4,9,4,3,15,8,21,4,2,5,3,4,18,14,5,2,8,3,3,4,3,3,,,,3,,4,3
25,3,4,13,3,4,3,5,3,3,2,3,3,,3,22,5,12,18,4,3,3,3,3,3,3,4,14,4,3,28,15,3,5,3,2,4,3,5,4,6,3,4,6,2,7,3,19,4,3,4,3,4,2,2,2,2,5,,3,5,4,4,5,3,8,3,3,3,8,4,3,12,7,18,4,2,5,3,4,18,14,5,2,7,3,3,4,3,3,,,,3,,4,3
26,3,4,13,3,4,3,5,3,3,2,3,3,,3,22,5,11,18,4,3,3,3,3,3,3,3,13,4,3,28,15,3,5,3,2,4,3,5,4,6,3,4,6,2,7,3,19,4,3,4,3,4,2,2,1,2,5,,3,5,4,4,5,3,8,3,3,3,8,4,3,12,7,17,4,2,5,3,4,17,13,5,2,7,3,3,4,3,3,,,,3,,4,3
27,3,4,13,3,4,3,5,3,3,2,2,3,,3,22,5,11,18,4,3,3,3,3,2,3,3,13,4,3,28,14,3,5,3,2,3,3,5,3,5,3,4,5,2,6,3,17,4,3,4,3,4,2,2,1,2,5,,3,4,4,4,5,3,7,3,3,3,8,4,3,11,7,17,4,2,5,3,4,17,13,5,2,7,3,3,4,3,3,,,,3,,4,3
28,3,4,10,3,4,3,5,3,3,2,2,3,,3,21,5,10,15,4,3,3,3,3,2,3,3,13,4,3,27,14,3,5,3,2,3,3,5,3,5,2,4,5,2,6,3,16,4,3,4,3,4,2,2,1,2,4,,3,4,4,4,5,3,7,3,3,3,8,4,3,11,7,14,4,2,5,3,3,17,11,4,2,7,3,3,3,3,3,,,,3,,3,3
29,3,4,8,3,4,3,5,3,2,2,2,3,,3,20,5,8,14,4,3,3,3,3,2,3,3,13,4,3,26,14,3,5,3,2,3,3,5,3,5,2,4,5,2,6,3,16,4,3,3,3,4,2,2,1,2,4,,3,4,4,4,5,3,7,3,3,3,7,3,3,11,7,13,4,2,5,3,3,16,11,4,2,6,3,3,3,3,3,,,,3,,3,3
30,3,4,8,3,4,3,5,3,2,2,2,3,,3,20,5,8,12,4,3,3,3,3,2,3,3,12,4,3,25,13,3,4,2,2,3,3,5,3,5,2,4,5,2,6,3,15,4,2,3,3,4,2,2,1,2,4,,3,4,4,4,5,3,7,3,3,3,7,3,3,11,7,12,4,2,5,3,3,16,11,4,2,6,3,3,3,3,3,,,,3,,3,3
31,3,4,7,3,4,3,5,3,2,2,2,3,,3,20,5,7,11,4,3,2,3,3,2,3,3,11,4,3,25,13,3,4,2,2,3,3,5,3,5,2,3,5,2,6,3,15,4,2,3,3,4,2,2,1,2,4,,3,4,4,4,4,3,6,3,3,3,7,3,3,11,6,12,3,2,5,3,3,16,10,4,2,6,3,3,3,3,3,,,,3,,3,3
32,3,4,7,3,4,3,5,3,2,2,2,3,,3,20,5,7,10,4,3,2,3,3,2,3,3,11,3,3,24,13,3,4,2,2,3,3,5,3,5,2,3,5,2,6,3,14,4,2,3,2,4,2,2,1,2,4,,3,4,4,4,4,3,6,3,3,2,7,3,3,11,5,12,3,2,5,3,3,16,10,4,2,5,3,3,3,3,3,,,,3,,3,3
33,3,4,6,3,4,3,4,3,2,2,2,3,,3,20,5,7,10,3,3,2,3,2,2,3,3,11,3,3,23,12,3,4,2,2,3,3,5,3,5,2,3,5,2,6,3,13,4,2,3,2,4,2,2,1,2,4,,3,4,3,4,4,3,6,2,3,2,6,3,3,10,5,12,3,2,5,3,3,14,9,4,2,5,3,2,3,3,3,,,,3,,3,3
34,3,3,6,3,3,3,4,3,2,2,2,3,,3,20,5,7,10,3,3,2,3,2,2,3,3,10,3,3,22,12,3,4,2,2,3,3,5,3,5,2,3,5,2,6,3,12,4,2,3,2,4,2,2,1,2,4,,3,4,3,4,4,3,6,2,2,2,6,3,3,10,5,11,3,2,4,3,3,14,9,4,2,5,3,2,3,3,3,,,,3,,3,2
35,3,3,6,3,3,2,4,3,2,2,2,3,,3,20,5,6,10,3,3,2,3,2,2,3,3,10,3,3,22,12,2,4,2,2,3,3,5,3,5,2,3,5,2,5,3,12,4,2,3,2,4,2,2,1,2,4,,3,4,3,4,4,3,5,2,2,2,6,3,3,9,5,10,3,2,4,3,3,13,8,4,2,5,3,2,3,3,3,,,,3,,3,2
36,3,3,5,3,3,2,4,3,2,2,2,3,,3,20,4,6,10,3,2,2,3,2,2,3,3,10,3,3,21,12,2,4,2,2,3,3,5,3,5,2,3,4,2,5,3,12,4,2,3,2,4,2,2,1,2,4,,3,4,3,4,4,3,5,2,2,2,6,3,3,9,5,10,3,2,4,3,3,13,8,4,2,5,3,2,3,2,3,,,,2,,3,2
37,3,3,5,3,3,2,4,2,2,2,2,3,,3,19,4,6,9,3,2,2,3,2,2,3,3,10,3,3,21,10,2,4,2,2,3,3,4,3,5,2,3,4,2,5,3,11,3,2,3,2,4,2,2,1,2,4,,3,4,3,4,4,3,5,2,2,2,6,3,3,9,5,10,3,2,4,3,3,12,8,4,2,5,3,2,3,2,3,,,,2,,3,2
38,3,3,5,3,3,2,4,2,2,2,2,3,,3,19,4,6,8,3,2,2,3,2,2,3,3,9,3,3,20,10,2,4,2,2,3,3,4,3,5,2,3,4,2,4,3,10,3,2,3,2,4,2,2,1,2,4,,2,4,3,4,4,3,5,2,2,2,6,3,3,9,4,9,3,2,4,3,3,12,8,4,2,4,3,2,3,2,3,,,,2,,3,2
39,3,3,5,3,3,2,4,2,2,2,2,3,,3,19,4,5,7,3,2,2,3,2,2,3,3,9,3,3,18,10,2,4,2,2,3,3,4,3,5,2,3,4,2,4,3,10,3,2,3,2,3,2,2,1,2,4,,2,3,3,4,4,3,5,2,2,2,6,3,3,8,4,8,3,2,4,3,3,12,8,4,2,4,3,2,3,2,3,,,,2,,3,2
40,3,3,5,3,3,2,4,2,2,2,2,3,,3,18,4,5,6,3,2,2,3,2,2,3,3,9,3,3,17,10,2,4,2,2,3,3,4,3,5,2,3,4,2,4,3,10,3,2,3,2,3,2,2,1,2,4,,2,3,3,4,4,3,5,2,2,2,6,3,3,7,4,7,3,2,4,3,3,12,8,3,2,4,3,2,3,2,2,,,,2,,3,2
41,3,3,5,3,3,2,4,2,2,2,2,3,,3,18,4,5,6,3,2,2,3,2,2,3,3,9,3,2,17,9,2,3,2,2,3,3,4,3,5,2,3,4,2,4,3,10,3,2,3,2,3,1,2,1,2,4,,2,3,3,4,4,3,5,2,2,2,5,3,3,7,4,7,3,2,4,3,3,10,7,3,2,4,3,2,3,2,2,,,,2,,3,2
42,3,3,5,2,3,2,4,2,2,2,2,2,,3,18,4,5,6,3,2,2,3,2,2,3,3,9,3,2,16,9,2,3,2,2,3,3,4,2,4,2,2,4,2,4,3,9,3,2,3,2,3,1,2,1,1,3,,2,3,3,4,4,3,5,2,2,2,5,3,3,7,4,6,3,2,4,3,3,10,7,3,2,4,3,2,3,2,2,,,,2,,3,2
43,3,3,5,2,3,2,4,2,2,2,2,2,,2,18,4,5,6,3,2,2,2,2,2,3,3,9,3,2,15,9,2,3,2,2,3,3,4,2,4,2,2,4,2,4,2,8,3,2,3,2,3,1,2,1,1,3,,2,3,3,4,4,3,5,2,2,2,5,3,3,7,4,6,3,2,4,3,3,9,7,3,2,4,3,2,3,2,2,,,,2,,3,2
44,3,3,4,2,3,2,4,2,2,2,2,2,,2,18,4,4,5,3,2,2,2,2,2,3,3,8,3,2,14,9,2,3,2,2,3,3,4,2,4,2,2,4,2,4,2,7,3,2,3,2,3,1,2,1,1,3,,2,3,3,3,4,3,5,2,2,2,5,3,3,6,4,6,3,1,4,2,3,9,7,3,2,4,3,2,3,2,2,,,,2,,3,2
45,3,3,4,2,3,2,3,2,2,2,2,2,,2,18,4,4,5,3,2,2,2,2,2,3,3,8,3,2,12,9,2,3,2,2,3,3,4,2,4,2,2,4,2,4,2,6,3,2,3,2,3,1,2,1,1,3,,2,3,3,3,4,3,5,2,2,2,5,3,3,6,4,6,3,1,4,2,3,8,7,3,2,4,2,2,3,2,2,,,,2,,3,2
46,3,3,4,2,3,2,3,2,2,2,2,2,,2,18,4,4,5,3,2,2,2,2,2,3,3,7,3,2,12,9,2,3,2,2,3,3,4,2,4,2,2,4,2,4,2,6,3,2,3,2,3,1,2,1,1,3,,2,3,3,3,3,3,5,2,2,2,5,3,2,6,4,5,3,1,4,2,3,8,7,3,2,4,2,2,3,2,2,,,,2,,3,2
47,3,3,4,2,2,2,3,2,2,2,2,2,,2,17,4,4,5,2,2,2,2,2,2,3,3,6,3,2,11,8,2,3,2,2,3,3,4,2,4,2,2,4,2,3,2,6,3,2,3,2,3,1,2,1,1,3,,2,3,3,3,3,2,5,1,2,2,5,3,2,6,3,5,2,1,4,2,3,8,7,3,2,3,2,2,3,2,2,,,,2,,3,2
48,3,3,4,2,2,2,3,2,2,2,2,2,,2,17,4,4,5,2,2,2,2,2,2,3,3,6,3,2,11,8,2,3,2,2,3,3,4,2,4,2,2,3,2,3,2,6,3,2,3,2,3,1,2,1,1,3,,2,3,3,3,3,2,5,1,2,2,4,3,2,6,3,5,2,1,4,2,3,7,6,3,2,3,2,2,3,2,2,,,,2,,3,2
49,3,3,4,2,2,2,3,2,2,2,2,2,,2,17,3,4,5,2,2,1,2,2,1,3,3,5,3,2,10,8,2,3,2,2,3,3,4,2,4,2,2,3,2,3,2,6,3,2,3,2,3,1,2,1,1,3,,2,3,3,3,3,2,5,1,2,2,4,3,2,6,3,5,2,1,4,2,2,6,6,3,2,3,2,2,3,2,2,,,,2,,3,2
50,3,3,4,2,2,2,3,2,2,2,2,2,,2,17,3,4,5,2,2,1,2,2,1,3,3,5,3,2,10,8,2,3,2,2,3,3,4,2,4,2,2,3,2,3,2,6,3,2,3,2,3,1,2,1,1,3,,2,3,3,3,3,2,5,1,2,2,4,3,2,6,3,5,2,1,4,2,2,6,6,3,2,3,2,2,3,2,2,,,,2,,3,2
51,3,3,4,2,2,2,3,2,2,2,2,2,,2,17,3,4,5,2,2,1,2,2,1,2,3,5,2,2,10,8,2,3,2,2,3,3,4,2,4,2,2,3,2,3,2,6,3,2,3,2,3,1,2,1,1,3,,2,3,3,3,3,2,5,1,2,2,4,3,2,5,3,5,2,1,3,2,2,6,6,3,2,3,2,2,3,2,2,,,,2,,3,2
52,3,3,4,2,2,2,3,2,2,2,2,2,,2,17,3,4,4,2,2,1,2,2,1,2,3,5,2,2,9,8,2,3,2,1,3,3,4,2,4,2,2,3,2,3,2,5,3,2,3,2,3,1,1,1,1,3,,2,3,3,3,3,2,5,1,2,2,4,3,2,5,3,5,2,1,3,2,2,6,6,3,1,3,2,2,3,2,2,,,,2,,3,2
53,2,3,4,2,2,2,3,2,2,2,2,2,,2,16,3,4,4,2,2,1,2,2,1,2,3,5,2,2,9,7,2,3,2,1,3,3,4,2,4,2,2,3,2,3,2,5,3,2,2,2,3,1,1,0,1,3,,2,3,3,3,3,2,4,1,2,2,4,3,2,5,3,5,2,1,3,2,2,6,6,3,1,3,2,2,3,2,2,,,,2,,3,2
54,2,3,3,2,2,1,3,2,2,2,2,2,,2,16,3,4,4,2,2,1,2,2,1,2,3,5,2,2,9,7,2,3,2,1,3,3,3,2,4,2,2,3,2,3,2,5,3,2,2,2,3,1,1,0,1,3,,2,3,3,3,3,2,4,1,2,2,4,2,2,5,3,5,2,1,3,2,2,6,6,3,1,3,2,2,3,2,2,,,,2,,3,2
55,2,3,3,2,2,1,3,2,2,2,2,2,,2,16,3,4,4,2,2,1,2,2,1,2,3,5,2,2,9,7,2,3,2,1,3,3,3,2,4,2,2,3,1,3,2,5,3,2,2,2,3,1,1,0,1,3,,2,3,3,3,3,2,4,1,2,2,4,2,2,5,3,5,2,1,3,2,2,5,5,3,1,3,2,2,3,2,2,,,,2,,2,2
56,2,3,3,2,2,1,3,2,2,2,2,2,,2,16,3,3,4,2,2,1,2,2,1,2,3,5,2,2,8,7,2,3,2,1,3,3,3,2,4,2,2,3,1,3,2,5,3,2,2,2,3,1,1,0,1,3,,2,3,3,3,3,2,4,1,2,2,4,2,2,5,3,5,2,1,3,2,2,5,5,3,1,3,2,2,3,2,2,,,,2,,2,2
57,2,3,3,2,2,1,3,2,2,2,2,2,,2,16,3,3,4,2,2,1,2,2,1,2,3,5,2,2,8,6,2,3,1,1,3,3,3,2,4,2,2,3,1,3,2,4,3,2,2,2,3,1,1,0,1,3,,2,3,3,3,3,2,4,1,2,1,4,2,2,4,3,4,2,1,3,2,2,5,5,3,1,3,2,2,3,2,2,,,,2,,2,2
58,2,3,3,2,2,1,3,2,2,1,2,2,,2,16,3,3,4,2,1,1,2,2,1,2,3,5,2,2,8,6,2,3,1,1,2,3,3,2,4,2,2,3,1,3,2,4,3,2,2,2,3,1,1,0,1,3,,2,3,3,3,3,2,4,1,2,1,3,2,2,4,3,4,2,1,3,2,2,4,5,3,1,3,2,2,2,2,2,,,,2,,2,2
59,2,3,3,2,2,1,3,2,2,1,2,2,,2,16,3,3,4,2,1,1,2,2,1,2,3,5,2,2,8,6,2,3,1,1,2,3,3,2,4,2,2,3,1,3,2,4,3,2,2,2,2,1,1,0,1,2,,2,3,3,3,3,2,4,1,2,1,3,2,2,4,3,4,2,1,3,2,2,4,5,3,1,3,2,2,2,2,2,,,,2,,2,2
60,2,3,3,2,2,1,3,2,2,1,2,2,,2,16,3,3,3,2,1,1,2,2,1,2,3,4,2,2,8,6,2,3,1,1,2,3,3,2,4,2,2,3,1,3,2,4,3,2,2,2,2,1,1,0,1,2,,2,3,3,3,3,2,4,1,2,1,3,2,2,4,3,3,2,1,3,2,2,4,5,3,1,3,2,2,2,2,2,,,,2,,2,2
61,2,3,3,2,2,1,3,2,2,1,2,2,,2,16,3,3,3,2,1,1,2,2,1,2,2,4,2,2,7,6,2,3,1,1,2,3,3,1,4,1,2,3,1,3,2,4,3,2,2,2,2,1,1,0,1,2,,2,2,3,3,3,2,4,1,2,1,3,2,2,4,2,3,2,1,3,2,2,4,5,3,1,3,2,2,2,2,2,,,,2,,2,2
62,2,3,3,2,2,1,3,2,2,1,2,2,,2,16,3,3,3,2,1,1,2,2,1,2,2,4,2,2,7,6,2,3,1,1,2,2,3,1,3,1,2,3,1,3,2,4,3,2,2,2,2,1,1,0,1,2,,2,2,3,3,3,2,4,1,2,1,3,2,2,4,2,3,2,1,3,2,2,4,4,3,1,3,2,2,2,2,2,,,,2,,2,2
63,2,3,3,2,2,1,3,2,2,1,2,2,,2,15,3,3,3,2,1,1,2,2,1,2,2,4,2,2,7,6,2,3,1,1,2,2,3,1,3,1,2,3,1,3,2,4,3,2,2,2,2,1,1,0,1,2,,2,2,3,3,3,2,4,1,2,1,3,2,2,4,2,3,2,1,3,2,2,4,4,3,1,3,2,1,2,2,2,,,,2,,2,2
64,2,2,3,2,2,1,2,2,2,1,2,2,,2,15,3,3,3,2,1,1,2,2,1,2,2,4,2,2,7,6,2,3,1,1,2,2,3,1,3,1,2,3,1,2,2,4,3,2,2,2,2,1,1,0,1,2,,2,2,3,3,3,2,4,1,2,1,3,2,2,3,2,3,2,1,3,2,2,4,4,3,1,3,2,1,2,2,2,,,,2,,2,2
65,2,2,3,2,2,1,2,2,2,1,2,2,,2,15,3,3,3,2,1,1,2,2,1,2,2,4,2,2,7,6,2,3,1,1,2,2,3,1,3,1,1,3,1,2,2,4,3,2,2,2,2,1,1,0,1,2,,2,2,3,3,3,2,4,1,2,1,3,2,2,3,2,3,2,1,3,2,2,4,4,3,1,3,2,1,2,2,2,,,,2,,2,2
66,2,2,3,2,2,1,2,1,2,1,2,2,,2,15,3,3,3,2,1,1,2,2,1,2,2,4,2,2,6,6,2,2,1,1,2,2,3,1,3,1,1,3,1,2,2,3,3,2,2,2,2,1,1,0,1,2,,2,2,3,3,3,2,4,1,2,1,3,2,2,3,2,3,2,1,3,2,2,4,4,3,1,3,2,1,2,2,2,,,,2,,2,2
67,2,2,3,2,2,1,2,1,2,1,2,2,,2,15,3,3,3,2,1,1,2,2,1,2,2,4,2,2,6,5,2,2,1,1,2,2,3,1,3,1,1,3,1,2,2,3,2,2,2,2,2,1,1,0,1,2,,2,2,2,2,2,2,4,1,2,1,3,2,2,3,2,3,2,1,3,2,2,4,4,3,1,2,2,1,2,2,2,,,,2,,2,2
68,2,2,3,2,2,1,2,1,2,1,2,2,,2,14,3,3,3,2,1,1,2,2,1,2,2,4,2,2,6,5,2,2,1,1,2,2,3,1,3,1,1,3,1,2,2,3,2,1,2,2,2,1,1,0,1,2,,2,2,2,2,2,2,4,1,2,1,3,2,2,3,2,3,2,1,3,2,2,4,4,3,1,2,2,1,2,2,2,,,,2,,2,2
69,2,2,3,2,2,1,2,1,2,1,2,2,,2,14,3,3,3,2,1,1,2,2,1,2,2,4,2,2,6,5,2,2,1,1,2,2,3,1,3,1,1,3,1,2,2,3,2,1,2,2,2,0,1,0,1,2,,2,2,2,2,2,2,4,1,2,1,3,2,2,3,2,3,2,1,3,2,2,4,4,3,1,2,2,1,2,2,2,,,,2,,2,2
70,2,2,3,2,2,1,2,1,2,1,1,2,,2,14,3,3,3,1,1,1,2,2,1,2,2,3,2,2,6,5,2,2,1,1,2,2,3,1,3,1,1,3,1,2,2,3,2,1,2,2,2,0,1,0,1,2,,1,2,2,2,2,2,4,1,2,1,3,2,2,3,2,3,2,1,3,2,2,4,4,3,1,2,2,1,2,2,2,,,,2,,2,2
