,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
0,7,28,44,20,17,32,43,8,8,7,7,8,4,7,37,25,43,47,29,10,7,28,7,5,7,9,46,15,11,53,53,8,28,7,7,38,6,25,40,14,10,13,15,6,62,8,48,23,5,26,7,10,9,7,8,6,48,1,12,13,10,10,28,6,53,37,8,44,39,27,9,49,38,51,43,8,28,36,43,48,36,20,6,34,7,12,9,39,8,0,2,10,6,1,23,7
1,6,22,34,15,11,12,35,6,6,6,5,7,4,6,35,25,24,43,25,9,5,8,6,5,7,8,37,10,9,45,51,7,28,6,6,37,6,17,34,12,8,10,15,6,45,7,47,16,5,25,6,9,7,6,6,5,43,,9,10,8,10,27,6,32,32,6,29,34,22,7,47,38,44,40,5,18,12,38,47,36,15,6,31,6,11,7,7,7,,,6,5,0,13,5
2,6,21,33,15,11,11,34,6,6,6,4,6,3,5,34,20,24,43,24,8,5,8,6,5,7,7,36,8,8,41,51,6,26,6,6,27,5,15,23,11,7,8,12,6,42,6,42,12,5,22,6,9,7,6,6,5,39,,6,9,8,9,22,6,29,21,6,28,30,22,7,41,35,41,32,5,16,11,37,42,36,14,5,30,6,6,7,7,6,,,0,5,0,10,4
3,6,14,29,9,11,11,33,5,5,5,4,6,2,5,34,19,23,42,23,7,5,7,6,4,6,6,34,8,7,41,43,6,25,5,5,15,5,12,21,11,6,8,11,5,31,5,41,11,4,20,6,8,6,5,4,5,36,,6,9,7,8,17,6,29,20,6,22,27,18,6,39,33,39,31,5,15,9,27,40,35,9,5,27,5,6,7,6,6,,,0,5,0,9,4
4,6,14,29,8,10,9,29,5,4,5,4,6,2,4,33,19,23,41,17,6,5,7,5,4,6,6,33,7,6,41,39,6,25,5,4,11,5,10,16,9,5,8,11,5,25,5,39,11,4,13,6,8,6,5,4,4,22,,5,8,7,8,14,5,17,18,6,16,25,16,5,39,33,39,26,4,14,9,27,38,35,9,4,26,5,6,6,6,6,,,0,5,,8,4
5,6,14,27,8,10,7,27,5,4,4,4,5,2,4,33,18,23,40,16,6,4,5,5,4,6,5,30,6,6,39,37,4,24,5,4,8,5,10,11,9,5,7,10,5,23,5,38,11,4,13,5,8,6,5,4,4,22,,5,8,7,8,14,5,14,18,5,15,24,12,5,34,27,38,12,4,13,6,26,34,32,9,4,20,5,5,5,6,5,,,0,4,,8,4
6,5,14,25,7,10,5,26,5,4,4,4,5,2,4,32,18,23,40,15,5,4,5,5,4,6,5,29,6,6,38,37,4,14,5,4,7,5,9,9,8,4,7,10,4,17,4,36,10,4,11,5,8,6,5,4,4,18,,5,7,7,7,12,5,14,18,5,13,20,7,5,31,24,38,12,4,11,5,25,34,32,8,4,16,5,5,5,6,5,,,,4,,7,4
7,5,13,24,6,9,5,23,5,4,4,4,5,2,4,32,16,22,35,14,5,4,5,4,4,5,5,29,6,6,38,35,4,11,4,4,6,5,9,9,8,4,7,10,4,16,4,35,9,4,11,4,7,5,5,3,4,18,,5,6,6,7,11,4,13,10,5,11,20,6,5,31,23,38,12,4,11,5,22,33,31,7,4,15,4,5,5,5,5,,,,4,,7,4
8,5,9,24,6,7,5,21,5,4,4,4,5,2,4,29,16,21,34,13,5,4,5,4,4,5,4,27,6,6,38,31,4,9,4,4,6,5,8,8,7,4,7,10,4,15,4,34,8,3,11,4,7,4,4,3,4,16,,5,6,6,7,11,4,12,7,5,10,18,6,4,30,23,37,9,4,11,5,18,33,29,7,4,14,4,5,5,5,5,,,,4,,6,4
9,4,9,24,6,7,5,15,4,4,4,4,5,2,4,29,16,21,32,12,5,4,5,4,4,5,4,23,6,5,37,27,4,8,4,4,5,5,8,7,7,4,7,9,4,13,4,30,7,3,10,4,6,4,4,3,4,14,,5,6,6,6,11,4,12,6,5,9,16,6,4,29,22,37,9,3,10,5,17,31,28,7,4,14,4,4,5,4,5,,,,3,,6,4
